CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Date
Nicaragua,6835,57,181,1,4225,,2429,,20/4/2021
Iceland,6350,21,29,,6208,5,113,,20/4/2021
CAR,5929,142,79,,4,,5112,738,20/4/2021
Yemen,5918,60,1138,6,2281,20,2499,23,20/4/2021
Gambia,5784,,64,,170,,5225,35,20/4/2021
Niger,5140,,3,,191,,1,4795,20/4/2021
San Marino,5041,9,88,,4757,9,196,5,20/4/2021
Seychelles,5012,36,25,,4535,34,452,,20/4/2021
Chad,4723,15,169,4353,201,281,10,110863,20/4/2021
Saint Lucia,4419,,69,,4265,,5,85,20/4/2021
Gibraltar,4291,,94,,4181,,16,,20/4/2021
Channel Islands,4053,86,3956,,11,,1,23141,20/4/2021
Sierra Leone,4041,3,79,,2857,6,1105,,20/4/2021
Comoros,3820,1,146,,3626,31,48,4320,20/4/2021
Barbados,3793,9,44,,3692,11,57,,20/4/2021
Guinea-Bissau,3713,1,66,,3170,28,477,9,20/4/2021
Burundi,3643,31,6,,773,,2864,,20/4/2021
Eritrea,3548,11,10,3341,7,197,990,3,20/4/2021
Liechtenstein,2836,13,56,,2698,5,82,6,20/4/2021
Vietnam,2800,9,35,,2490,,15,275,20/4/2021
New Zealand,2597,1,26,,2485,17,86,,20/4/2021
Monaco,2413,9,31,,2306,2,76,4,20/4/2021
Turks and Caicos,2369,17,2291,,61,2,60533,434,20/4/2021
Sao Tome and Principe,2283,8,35,,2219,7,29,,20/4/2021
Bermuda,2214,20,1290,,904,41,35656,322,20/4/2021
Sint Maarten,2211,4,27,,2161,2,23,1,20/4/2021
Liberia,2042,,85,,1899,,58,2,20/4/2021
St. Vincent Grenadines,1819,,10,,1686,,9,123,20/4/2021
Saint Martin,1702,,12,,1399,,291,7,20/4/2021
Isle of Man,1577,,29,,1543,,5,,20/4/2021
Caribbean Netherlands,1548,15,1456,,77,58596,568,,20/4/2021
Timor-Leste,1452,84,2,727,32,723,1085,1,20/4/2021
Antigua and Barbuda,1217,31,995,191,4,12346,314,16493,20/4/2021
Mauritius,1203,15,934,,254,,945,,20/4/2021
