CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical
China,90547,6,4636,,85608,8,303,5
USA,32669189,67138,584285,926,25236658,59224,6848246,9962
India,16257309,332503,186928,2256,13641606,192200,2428775,8944
Brazil,14172139,49344,383757,2070,12673785,27653,1114597,8318
France,5408606,34318,102164,283,4243176,24569,1063266,5981
Russia,4736121,8996,107103,397,4361807,8934,267211,2300
Turkey,4501382,54791,37329,354,3909935,65593,554118,3463
UK,4398431,2729,127345,18,4171798,5064,99288,276
Italy,3920942,16229,118357,360,3330392,19125,472193,3021
Spain,3456886,10814,77496,132,3156955,5368,222435,2283
Germany,3238054,29382,81693,311,2845300,21200,311061,5049
Argentina,2796768,27216,60620,537,2449793,25118,286355,4791
Poland,2731264,12770,64168,694,2380787,14557,286309,3229
Colombia,2720619,19306,70026,430,2538020,16076,112573,5306
Iran,2335905,24092,68366,453,1837590,13632,429949,5038
Mexico,2315811,4639,213597,549,1839381,3004,262833,4798
Ukraine,1990353,16235,41266,470,1533303,18831,415784,177
Peru,1734606,7800,58604,343,1661792,8381,14210,2614
Indonesia,1626812,6243,44172,165,1481449,5993,101191,
Czechia,1612846,2951,28835,56,1522264,247,61747,862
South Africa,1571348,1413,53995,55,1496756,892,20597,546
Netherlands,1435854,9611,17002,20,1196384,5543,222468,828
Canada,1155834,8370,23822,59,1045244,7346,86768,1312
Chile,1148320,6917,25532,179,1081117,6290,41671,3375
Romania,1039998,2989,26943,150,959126,4258,53929,1405
Iraq,1010304,8450,15128,30,884181,6872,110995,525
Philippines,971021,8739,16370,105,846600,17047,108051,750
Belgium,960169,5113,23867,33,815404,2180,120898,926
Sweden,938343,6251,13891,,752021,7616,172431,403
Israel,837807,315,6346,,829424,297,2037,161
Portugal,832891,636,16956,4,791171,521,24764,104
Pakistan,778238,5857,16698,98,676605,3986,84935,4593
Hungary,760967,3607,26001,214,469592,4842,265374,876
Bangladesh,736074,4014,10781,98,642449,7266,82844,
Jordan,697487,2097,8474,45,658287,3794,30726,729
Serbia,673520,2719,6130,35,608270,4096,59120,219
Switzerland,644396,2265,10555,9,575624,1838,58217,248
Austria,602494,2405,10026,29,565513,2257,26955,527
Japan,546433,5299,9764,54,491661,2717,45008,805
Lebanon,516600,1512,7057,30,437808,3821,71735,717
Morocco,507938,600,8976,7,493873,520,5089,221
UAE,504872,2081,1565,4,486920,1842,16387,
Saudi Arabia,409093,1055,6869,11,392448,1086,9776,1182
Bulgaria,394594,1681,15721,103,321400,3192,57473,781
Malaysia,384688,2875,1407,7,361267,2541,22014,248
Slovakia,378150,677,11357,53,255300,,111493,387
Ecuador,365393,2550,17965,161,309541,,37887,636
Panama,361992,314,6198,2,351949,367,3845,105
Belarus,348486,1170,2463,10,338927,1307,7096,
Greece,326395,2756,9788,75,284050,5360,32557,822
Croatia,316308,2885,6738,46,293454,2103,16116,226
Azerbaijan,307980,2047,4274,39,272575,2610,31131,
