CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical
Mozambique,"69,437",128,805,3,"62,342","6,290",43
El Salvador,"68,007",156,"2,086",4,"64,074","1,847",59
Luxembourg,"65,604",285,788,2,"61,791","3,025",30
Cameroon,"64,809",,939,,"57,821","6,049",385
Oceania,"61,907",407,"1,184",8,"41,343","19,380",8
Singapore,"60,880",15,30,,"60,576",274,1
Cyprus,"58,865",843,295,,"39,061","19,509",71
Afghanistan,"58,346",132,"2,561",4,"52,301","3,484","1,124"
Namibia,"46,954",79,609,1,"45,039","1,306",33
Thailand,"46,643","1,458",110,2,"29,371","17,162",1
Ivory Coast,"45,697",83,277,2,"45,227",193,
Botswana,"44,702",,684,,"39,733","4,285",1
Jamaica,"44,337",83,744,6,"20,070","23,523",29
Uganda,"41,475",53,341,,"40,898",236,24
Senegal,"39,910",74,"1,096",1,"38,668",146,11
Zimbabwe,"37,980",105,"1,555",1,"35,065","1,360",12
Malawi,"33,975",7,"1,142",,"31,852",981,15
Madagascar,"33,592",390,569,6,"26,610","6,413",348
Sudan,"32,611",65,"2,289",2,"26,324","3,998",
Malta,"30,063",24,411,,"29,130",522,
Australia,"29,574",15,910,,"26,454","2,210",
DRC,"29,233",149,748,,"26,108","2,377",
Maldives,"26,920",253,71,,"23,935","2,914",83
Mongolia,"25,364","1,169",56,5,"13,346","11,962",88
Angola,"24,883",222,570,5,"22,882","1,431",24
Rwanda,"24,112",107,327,,"22,579","1,206",6
Gabon,"22,228",196,136,,"18,908","3,184",28
Guinea,"21,666",33,139,,"19,004","2,523",24
Syria,"21,584",151,"1,483",15,"15,216","4,885",
Cabo Verde,"21,179",398,198,4,"18,500","2,481",23
Mayotte,"19,849",,169,,"2,964","16,716",7
Réunion,"19,343",,141,,"17,653","1,549",36
French Polynesia,"18,722",2,141,,"4,842","13,739",4
French Guiana,"18,545",284,96,,"9,995","8,454",12
