CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Date
China,90468,11,4636,,85533,9,299,5,17/4/2021
USA,32305912,81773,579942,887,24836187,65207,6889783,9712,17/4/2021
India,14521683,233943,175673,1338,12666889,122911,1679121,8944,17/4/2021
Brazil,13834342,76249,369024,3070,12298863,62568,1166455,8318,17/4/2021
France,5224321,36442,100404,313,4046518,38187,1077399,5914,17/4/2021
Russia,4684148,8995,104795,397,4310557,9109,268796,2300,17/4/2021
UK,4383572,2596,127225,34,4139553,5717,116794,329,17/4/2021
Turkey,4150039,63082,35320,289,3591550,56510,523169,3205,17/4/2021
Italy,3842079,15943,116366,429,3218975,18779,506738,3366,17/4/2021
Spain,3407283,10598,76981,99,3129234,5966,201068,2180,17/4/2021
Germany,3116950,21934,80387,246,2752000,15900,284563,4740,17/4/2021
Poland,2660111,17870,61209,596,2255232,16594,343670,3425,17/4/2021
Argentina,2658628,29472,59084,159,2324107,23875,275437,3971,17/4/2021
Colombia,2619422,16703,67564,365,2442453,10392,109405,4299,17/4/2021
Mexico,2295435,4189,211213,401,1820959,3093,263263,4798,17/4/2021
Iran,2194133,25261,66008,328,1761497,12456,366628,4652,17/4/2021
Ukraine,1921244,17479,39096,438,1465820,12054,416328,177,17/4/2021
Peru,1689051,7988,56454,305,1610563,8529,22034,2591,17/4/2021
Czechia,1597135,3254,28369,75,1495318,279,73448,1016,17/4/2021
Indonesia,1594722,5363,43196,123,1444229,5975,107297,,17/4/2021
South Africa,1564355,1424,53663,92,1488572,512,22120,546,17/4/2021
Netherlands,1387043,8898,16873,12,1156626,5910,213544,775,17/4/2021
Chile,1109311,7613,24923,157,1037539,4350,46849,3277,17/4/2021
Canada,1106062,9346,23541,41,997202,7128,85319,1089,17/4/2021
Romania,1023565,3264,25937,137,930942,5547,66686,1493,17/4/2021
Iraq,964435,7561,14915,30,843851,6515,105669,494,17/4/2021
Belgium,939309,3993,23636,33,789423,3128,126250,941,17/4/2021
Philippines,914951,10706,15738,145,705733,626,193480,750,17/4/2021
Sweden,900138,,13788,36,724684,6406,161666,391,17/4/2021
Israel,836740,34,6315,1,827745,298,2680,201,17/4/2021
Portugal,829911,553,16937,4,787607,596,25367,101,17/4/2021
Pakistan,745182,5364,15982,110,650775,4123,78425,4302,17/4/2021
Hungary,742198,5216,24762,241,445920,5422,271516,1117,17/4/2021
Bangladesh,711779,4417,10182,101,602908,5694,98689,,17/4/2021
Jordan,681870,2732,8117,60,625912,4042,47841,729,17/4/2021
Serbia,657716,2846,5920,39,579625,3854,72171,239,17/4/2021
Switzerland,632399,2205,10503,5,566679,1829,55217,222,17/4/2021
Austria,589299,2416,9843,30,550470,2866,28986,558,17/4/2021
Japan,520745,4576,9538,39,475574,2184,35633,670,17/4/2021
Lebanon,506808,2008,6854,45,420223,3599,79731,795,17/4/2021
Morocco,504847,587,8934,7,490921,555,4992,243,17/4/2021
UAE,493266,1843,1547,2,476518,1506,15201,,17/4/2021
Saudi Arabia,403106,964,6801,10,387020,918,9285,1034,17/4/2021
Bulgaria,384887,2126,15100,121,304033,3642,65754,801,17/4/2021
Slovakia,374586,636,10970,93,255300,,108316,452,17/4/2021
Malaysia,370528,2551,1365,2,350563,1524,18600,227,17/4/2021
Panama,360249,419,6185,2,350134,416,3930,105,17/4/2021
Ecuador,355964,533,17528,39,298604,,39832,631,17/4/2021
Belarus,341539,1516,2403,10,331972,1489,7164,,17/4/2021
Greece,311033,3027,9330,91,266175,1851,35528,824,17/4/2021
Croatia,303598,2698,6486,44,281059,1908,16053,186,17/4/2021
Azerbaijan,296374,2163,4077,32,260193,2251,32104,,17/4/2021
Georgia,293321,1077,3916,8,279831,442,9574,,17/4/2021
Bolivia,286114,823,12603,84,235495,899,38016,71,17/4/2021
Nepal,282890,836,3070,4,274812,208,5008,,17/4/2021
Tunisia,281777,2401,9639,86,232643,1358,39495,457,17/4/2021
Kazakhstan,281351,2656,3333,27,241625,2177,36393,221,17/4/2021
Palestine,278135,1728,2955,18,243522,2179,31658,172,17/4/2021
Dominican Republic,260133,494,3410,5,218010,397,38713,152,17/4/2021
Kuwait,254472,1406,1436,8,237667,1283,15369,247,17/4/2021
Moldova,244866,689,5521,28,228766,1197,10579,282,17/4/2021
Paraguay,244528,,5110,,200259,,39159,504,17/4/2021
Ireland,242819,417,4831,11,223395,544,14593,53,17/4/2021
Denmark,241007,677,2452,3,230084,712,8471,36,17/4/2021
Ethiopia,238527,1973,3300,15,177629,1750,57598,1013,17/4/2021
Lithuania,231636,1123,3739,7,209538,648,18359,167,17/4/2021
Slovenia,230827,861,4147,5,213980,1165,12700,154,17/4/2021
Costa Rica,228577,1044,3071,6,196974,222,28532,236,17/4/2021
Egypt,214639,841,12653,42,162170,700,39816,90,17/4/2021
Guatemala,210667,1973,7160,40,189536,841,13971,5,17/4/2021
Armenia,207103,961,3835,18,186200,1075,17068,69787,17/4/2021
Honduras,198975,761,4929,24,76214,84,117832,576,17/4/2021
Qatar,194930,978,367,10,172598,613,21965,481,17/4/2021
Bosnia and Herzegovina,188994,1279,7788,86,145863,931,35343,,17/4/2021
Venezuela,180609,1244,1870,17,162936,1116,15803,263,17/4/2021
Oman,176668,,1821,,156845,,18002,267,17/4/2021
Libya,171131,573,2882,9,156344,632,11905,,17/4/2021
Nigeria,164147,67,2061,,154304,19,7782,11,17/4/2021
Bahrain,162089,1155,581,7,150179,1020,11329,86,17/4/2021
Uruguay,159569,3070,1788,62,126119,3482,31662,516,17/4/2021
Kenya,150260,1041,2443,19,99580,,48237,260,17/4/2021
North Macedonia,145909,908,4388,31,121439,732,20082,124,17/4/2021
Myanmar,142617,7,3206,,131884,5,7527,2607,17/4/2021
Albania,129307,179,2337,2,100600,587,26370,18,17/4/2021
Algeria,119323,181,3148,4,83169,121,33006,16,17/4/2021
Estonia,116678,478,1070,6,100176,1080,15432,61,17/4/2021
S. Korea,112789,672,1790,2,103062,549,7937,111,17/4/2021
Latvia,110343,612,2042,12,101944,856,6357,94,17/4/2021
Norway,106727,825,708,1,88952,,17067,53,17/4/2021
Sri Lanka,96186,237,615,7,92611,303,2960,,17/4/2021
Montenegro,95205,163,1421,9,90295,330,3489,69,17/4/2021
Ghana,91545,,766,,89400,,1379,8,17/4/2021
Cuba,91448,1040,500,9,86142,1021,4806,73,17/4/2021
Kyrgyzstan,91374,230,1544,4,86621,130,3209,25,17/4/2021
