CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Date
Zambia,90750,218,1233,3,88414,131,1103,55,17/4/2021
Uzbekistan,86022,292,635,1,83649,187,1738,23,17/4/2021
Finland,83633,380,887,2,46000,,36746,34,17/4/2021
Mozambique,69067,65,797,3,61188,76,7082,68,17/4/2021
El Salvador,67249,150,2068,8,63560,89,1621,59,17/4/2021
Luxembourg,64746,197,785,,60627,64,3334,30,17/4/2021
Cameroon,61731,,919,,56926,,3886,385,17/4/2021
Singapore,60769,34,30,,60446,29,293,2,17/4/2021
Afghanistan,57721,109,2539,4,52105,22,3077,1124,17/4/2021
Cyprus,54621,677,284,1,39061,,15276,63,17/4/2021
Namibia,46330,145,599,3,44392,70,1339,27,17/4/2021
Ivory Coast,45474,30,274,1,44993,68,207,1691,17/4/2021
Botswana,44075,,671,,39493,,3911,1,17/4/2021
Jamaica,43473,233,713,16,19472,103,23288,33,17/4/2021
Uganda,41310,47,338,,40898,,74,24,17/4/2021
Senegal,39664,58,1087,2,38410,67,167,16,17/4/2021
Thailand,39038,1585,97,,28480,97,10461,1,17/4/2021
Zimbabwe,37534,112,1551,1,34981,20,1002,12,17/4/2021
Malawi,33919,17,1136,2,31717,26,1066,15,17/4/2021
Sudan,31790,,2208,,25539,,4043,712,17/4/2021
Madagascar,31039,832,531,4,25193,300,5315,294,17/4/2021
Malta,29860,27,405,2,28872,30,583,,17/4/2021
Australia,29483,14,910,26385,26385,2188,2188,1146,17/4/2021
DRC,28859,90,745,,25841,,2273,315,17/4/2021
Maldives,26021,82,68,1,23360,118,2593,53,17/4/2021
Angola,24122,171,560,3,22203,28,1359,20,17/4/2021
Rwanda,23812,68,322,1,22015,210,1475,4,17/4/2021
Gabon,21566,,132,,18219,,3215,20,17/4/2021
Guinea,21392,93,138,2,18856,41,2398,24,17/4/2021
Syria,20856,143,1423,9,14594,125,4839,,17/4/2021
Cabo Verde,19975,195,189,1,17870,68,1916,23,17/4/2021
Mayotte,19757,,168,,2964,,16625,6,17/4/2021
Mongolia,19672,1107,37,6,11044,406,8591,88,17/4/2021
French Polynesia,18688,,141,,4842,,13705,1,17/4/2021
Réunion,18425,,135,,16794,,1496,54,17/4/2021
Eswatini,18414,2,670,,17682,,62,3,17/4/2021
Mauritania,18103,31,452,,17466,13,185,14,17/4/2021
French Guiana,18081,116,95,,9995,,7991,13,17/4/2021
Tajikistan,13308,,90,,13218,,0,,17/4/2021
Burkina Faso,13083,19,154,,12742,12,187,613,17/4/2021
Haiti,12885,9,251,,11723,,911,1119,17/4/2021
Somalia,12837,,656,,5346,,6835,,17/4/2021
Mali,12835,129,426,5,7309,48,5100,,17/4/2021
Guadeloupe,12717,,176,,2242,,10299,13,17/4/2021
Andorra,12712,71,123,2,12105,116,484,29,17/4/2021
Belize,12538,9,318,,12143,2,77,1,17/4/2021
Togo,12391,90,119,2,9970,179,2302,1470,17/4/2021
Curaçao,11769,95,85,5,8247,266,3437,22,17/4/2021
Guyana,11642,115,267,4,10061,46,1314,13,17/4/2021
Hong Kong,11636,17,209,11253,11253,7,174,6,17/4/2021
Lesotho,10709,,315,,5028,,5366,,17/4/2021
South Sudan,10432,16,114,,10148,,170,923,17/4/2021
Djibouti,10385,110,110,8880,8880,135,1395,,17/4/2021
Aruba,10264,45,92,,9660,49,512,14,17/4/2021
Congo,10084,,139,,8208,,1737,,17/4/2021
Martinique,9890,,64,,98,,9728,24,17/4/2021
Bahamas,9634,41,194,1,8984,14,456,3,17/4/2021
Suriname,9496,38,187,2,8779,28,530,12,17/4/2021
Papua New Guinea,9343,155,82,,846,,8415,,17/4/2021
Trinidad and Tobago,8678,,150,,7843,,685,14,17/4/2021
Benin,7611,,95,,6728,,788,35,17/4/2021
Equatorial Guinea,7259,,106,,6885,,268,11,17/4/2021
Nicaragua,6778,,180,,4225,,2373,1014,17/4/2021
Iceland,6286,7,29,,6184,14,73,,17/4/2021
CAR,5728,46,75,,5112,,541,2,17/4/2021
Gambia,5720,26,170,,5190,14,360,3,17/4/2021
Yemen,5715,58,1108,11,2204,26,2403,23,17/4/2021
Cambodia,5480,262,38,2,2393,74,3049,,17/4/2021
Niger,5116,3,190,,4771,4,155,1,17/4/2021
San Marino,5016,4,87,1,4682,10,247,7,17/4/2021
Seychelles,4834,69,25,,4351,,458,,17/4/2021
Chad,4686,13,168,,4329,9,189,279,17/4/2021
Saint Lucia,4398,43,65,1,4235,10,98,1,17/4/2021
Gibraltar,4291,1,94,,4181,,16,1,17/4/2021
Channel Islands,4053,,86,,3956,,11,1,17/4/2021
Sierra Leone,4016,79,79,,2833,,1104,496,17/4/2021
Comoros,3815,6,146,,3589,,,80,17/4/2021
Barbados,3765,12,44,,3648,10,73,,17/4/2021
Guinea-Bissau,3710,4,66,,3117,11,527,9,17/4/2021
Eritrea,3491,5,10,3288,3288,8,193,974,17/4/2021
Burundi,3477,53,6,,773,,2698,,17/4/2021
Liechtenstein,2790,10,56,,2665,8,69,3,17/4/2021
Vietnam,2772,14,35,,2445,,292,28,17/4/2021
New Zealand,2591,,26,,2464,,101,518,17/4/2021
Monaco,2391,4,31,,2276,8,84,5,17/4/2021
Turks and Caicos,2369,2,17,,2290,5,62,2,17/4/2021
Sao Tome and Principe,2272,1,35,,2204,3,33,,17/4/2021
Sint Maarten,2202,3,27,,2139,3,36,1,17/4/2021
Bermuda,2060,37,17,,1195,55,848,41,17/4/2021
Liberia,2042,,85,,1899,,58,2,17/4/2021
St. Vincent Grenadines,1819,,1,,10,,1677,132,17/4/2021
Saint Martin,1702,,12,,1399,,291,7,17/4/2021
Isle of Man,1575,,29,,1534,,12,,17/4/2021
Caribbean Netherlands,1541,12,15,,1,1435,5,,17/4/2021
Antigua and Barbuda,1213,4,31,949,2,233,4,12306,17/4/2021
Mauritius,1202,15,865,,322,,944,,17/4/2021
Timor-Leste,1193,55,2,624,60,567,891,1,17/4/2021
Taiwan,1070,2,11,1032,1,27,45,0.5,17/4/2021
Bhutan,941,7,1,,876,,64,,17/4/2021
St. Barth,934,,1,,462,,471,,17/4/2021
Diamond Princess,712,,13,,699,,0,,17/4/2021
Faeroe Islands,662,,1,,660,,1,,17/4/2021
Cayman Islands,525,2,2,,499,24,7915,,17/4/2021
Tanzania,509,,21,,183,,305,7,17/4/2021
Wallis and Futuna,438,,1,,5,,44,389,17/4/2021
Brunei,221,,3,,206,,12,,17/4/2021
British Virgin Islands,187,,1,,182,,4,,17/4/2021
Dominica,165,,,,159,,6,,17/4/2021
Grenada,155,,1,,152,,2,,17/4/2021
New Caledonia,121,,,,58,,63,,17/4/2021
Fiji,68,,2,,64,,2,,17/4/2021
