CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Date
China,90575,9,4636,,85634,10,305,4,24/4/2021
USA,32789653,53280,585880,742,25339874,43562,6863899,9944,24/4/2021
India,16951769,349313,192310,2761,14078081,215962,2681378,8944,24/4/2021
Brazil,14308215,70105,389609,2986,12766772,55669,1151834,8318,24/4/2021
France,5473579,32633,102713,217,4321591,45309,1049275,5958,24/4/2021
Russia,4753789,8828,107900,399,4380468,9254,265421,2300,24/4/2021
Turkey,4591416,40596,38011,339,4022408,52297,530997,3511,24/4/2021
UK,4403170,2061,127417,32,4189154,5571,86599,243,24/4/2021
Italy,3949517,13817,119021,322,3369048,17587,461448,2894,24/4/2021
Spain,3468617,,77591,,3163849,,227177,2297,24/4/2021
Germany,3286187,24423,82194,258,2882300,17300,321693,5049,24/4/2021
Argentina,2845872,21220,61474,298,2496277,21763,288121,4858,24/4/2021
Colombia,2757274,16730,70886,440,2573657,18038,112731,5306,24/4/2021
Poland,2751637,9510,65222,513,2422659,21202,263756,3195,24/4/2021
Iran,2377039,18230,69120,374,1863405,12614,444514,5156,24/4/2021
Mexico,2323430,3911,214504,409,1845008,3044,263918,4798,24/4/2021
Ukraine,2017341,12711,42092,392,1565954,13687,409295,177,24/4/2021
Peru,1754150,8495,59440,428,1679099,8294,15611,2646,24/4/2021
Indonesia,1636792,4544,44500,154,1492322,4953,99970,5933,24/4/2021
Czechia,1618081,2595,28939,39,1524065,218,65077,765,24/4/2021
South Africa,1574370,1385,54125,59,1500360,1250,19885,546,24/4/2021
Netherlands,1453124,8060,17038,22,1211631,7688,224455,827,24/4/2021
Canada,1172004,7417,23927,44,1061706,7358,86371,1312,24/4/2021
Chile,1162811,6909,25742,101,1092934,8103,44135,3374,24/4/2021
Romania,1044722,2201,27267,154,968746,4906,48709,1377,24/4/2021
Iraq,1025288,6967,15217,43,897966,6959,112105,509,24/4/2021
Philippines,989361,9642,16674,145,883156,22812,89531,750,24/4/2021
Belgium,968107,3581,23954,45,818866,3495,125287,910,24/4/2021
Sweden,938343,,13923,,759670,,164750,403,24/4/2021
Israel,837974,82,6350,4,829811,115,1813,152,24/4/2021
Portugal,833964,567,16959,2,792377,626,24628,98,24/4/2021
Pakistan,790016,5908,16999,157,686488,4198,86529,4682,24/4/2021
