CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Date
Aruba,10324,19,92,,9781,56,451,14,18/4/2021
Congo,10084,,139,,8208,,1737,,18/4/2021
Martinique,9890,,64,,98,,9728,,18/4/2021
Papua New Guinea,9738,223,89,5,846,,8803,1072,18/4/2021
Bahamas,9634,,194,,8984,,456,3,18/4/2021
Suriname,9581,36,187,,8829,24,565,14,18/4/2021
Trinidad and Tobago,8940,134,153,3,7940,32,847,8,18/4/2021
Benin,7611,,95,,6728,,788,35,18/4/2021
Equatorial Guinea,7259,,106,,6885,,268,11,18/4/2021
Nicaragua,6778,,180,,4225,,2373,1014,18/4/2021
Cambodia,6389,618,43,4,2476,60,3870,,18/4/2021
Iceland,6286,,29,,6184,,73,3,18/4/2021
Yemen,5812,42,1126,7,2219,10,2467,23,18/4/2021
CAR,5787,59,75,,5112,,600,2,18/4/2021
Gambia,5720,,170,,5190,,360,3,18/4/2021
Niger,5131,15,190,,4779,8,162,23,18/4/2021
San Marino,5030,4,87,,4746,22,197,4,18/4/2021
Seychelles,4922,47,25,,4351,,546,,18/4/2021
Chad,4706,15,169,1,4342,7,195,280,18/4/2021
Saint Lucia,4401,,67,,4238,,96,3,18/4/2021
Gibraltar,4291,,94,,4181,,16,,18/4/2021
Channel Islands,4053,,86,,3956,,11,1,18/4/2021
Sierra Leone,4028,8,79,,2849,1,1100,,18/4/2021
Comoros,3819,4,146,,3595,6,78,4319,18/4/2021
Barbados,3781,8,44,,3665,9,72,,18/4/2021
Guinea-Bissau,3712,2,66,,3142,25,504,9,18/4/2021
Eritrea,3491,,10,,3288,,193,974,18/4/2021
Burundi,3477,,6,,773,,2698,286,18/4/2021
Liechtenstein,2813,9,56,,2665,,92,3,18/4/2021
Vietnam,2784,3,35,,2475,,274,28,18/4/2021
New Zealand,2595,4,26,,2467,3,102,,18/4/2021
Monaco,2399,4,31,,2292,10,76,5,18/4/2021
Turks and Caicos,2369,17,2291,,1,61,2,60537,18/4/2021
Sao Tome and Principe,2275,35,2212,,2,28,10230,,18/4/2021
Sint Maarten,2205,27,2144,,34,1,50967,624,18/4/2021
Bermuda,2123,18,1237,,868,41,34190,290,18/4/2021
Liberia,2042,,85,,1899,,58,2,18/4/2021
St. Vincent Grenadines,1819,,10,,1677,,132,2,18/4/2021
Saint Martin,1702,,12,,1399,,291,7,18/4/2021
Isle of Man,1577,,2,,29,,1538,,18/4/2021
Caribbean Netherlands,1547,1,15,,1448,4,84,,18/4/2021
Timor-Leste,1306,70,2,665,21,639,976,1,18/4/2021
Antigua and Barbuda,1216,31,986,199,4,12336,314,16493,18/4/2021
Mauritius,1203,15,934,,254,,945,,18/4/2021
Taiwan,1073,1,11,1033,29,45,0.5,513203,18/4/2021
Bhutan,957,5,1,,878,,78,,18/4/2021
St. Barth,934,,1,,462,,471,,18/4/2021
Diamond Princess,712,,13,,699,,0,,18/4/2021
Faeroe Islands,662,,1,,660,,1,,18/4/2021
Cayman Islands,525,2,499,,24,7914,30,,18/4/2021
Tanzania,509,,21,,183,,305,7,18/4/2021
Wallis and Futuna,438,,5,,44,,389,3,18/4/2021
Brunei,221,,3,,206,,12,,18/4/2021
British Virgin Islands,187,,1,,182,,4,,18/4/2021
Dominica,165,,,,159,,6,,18/4/2021
Grenada,155,,1,,152,,2,,18/4/2021
New Caledonia,123,,,,58,,65,,18/4/2021
Fiji,72,,2,,65,,5,,18/4/2021
