CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Date
China,90457,10,4636,4636,85524,11,297,5,16/4/2021
USA,32224139,74479,578993,895,24770980,74819,6874166,9759,16/4/2021
India,14287740,216850,174335,1183,12543978,117832,1569427,8944,16/4/2021
Brazil,13758093,80529,365954,3774,12236295,65524,1155844,8318,16/4/2021
France,5187879,38045,100073,296,4008331,29975,1079475,5924,16/4/2021
Russia,4675153,8944,104398,398,4301448,10225,269307,2300,16/4/2021
UK,4380976,2672,127191,30,4113338,,140447,351,16/4/2021
Turkey,4086957,61400,35031,297,3535040,54894,516886,3080,16/4/2021
Italy,3826156,16974,115937,380,3200196,21220,510023,3417,16/4/2021
Spain,3396685,9663,76882,126,3123268,4831,196535,2143,16/4/2021
Germany,3095016,30634,80141,328,2736100,17400,278775,4662,16/4/2021
Poland,2642242,21130,60612,682,2238638,8837,342992,3443,16/4/2021
Argentina,2629156,24999,58925,383,2300232,21746,269999,3900,16/4/2021
Colombia,2602719,16918,67199,380,2432061,12796,103459,4299,16/4/2021
Mexico,2291246,5113,210812,518,1817866,2629,262568,4798,16/4/2021
Iran,2168872,25078,65680,321,1749041,10039,354151,4601,16/4/2021
Ukraine,1903765,16427,38658,433,1453766,11148,411341,177,16/4/2021
Peru,1681063,13326,56149,337,1602034,9097,22880,2603,16/4/2021
Czechia,1593847,3697,28229,45,1483559,258,82059,1076,16/4/2021
Indonesia,1589359,6177,43073,167,1438254,6362,108032,,16/4/2021
South Africa,1562931,1372,53571,73,1488060,1187,21300,546,16/4/2021
Netherlands,1378145,8734,16861,14,1150716,4903,210568,772,16/4/2021
Chile,1101698,7431,24766,218,1033189,6255,43743,3257,16/4/2021
Canada,1096716,9564,23500,55,990074,6568,83142,1089,16/4/2021
Romania,1020301,3852,25800,195,925395,4742,69106,1518,16/4/2021
Iraq,956860,7810,14885,49,837336,5817,104639,501,16/4/2021
Belgium,935316,4713,23603,37,786295,1578,125418,941,16/4/2021
Philippines,904285,11429,15594,148,705164,856,183527,750,16/4/2021
Sweden,892480,,13761,36,718278,6780,160441,391,16/4/2021
Israel,836706,202,6314,2,827447,263,2945,209,16/4/2021
Portugal,829358,501,16933,2,787011,542,25414,109,16/4/2021
Pakistan,739818,5395,15872,118,646652,4740,77294,4276,16/4/2021
Hungary,736982,5307,24521,256,440498,5154,271963,1156,16/4/2021
Bangladesh,707362,4192,10081,94,597214,5915,100067,,16/4/2021
Jordan,679138,2963,8057,70,621870,4774,49211,729,16/4/2021
Serbia,654870,2971,5881,35,575771,4459,73218,259,16/4/2021
Switzerland,630194,2226,10498,10,564850,1412,54846,213,16/4/2021
Austria,586883,2678,9813,34,547604,2615,29466,577,16/4/2021
Japan,516121,3952,9500,31,473570,2563,33051,631,16/4/2021
Lebanon,504800,2501,6809,31,416624,3449,81367,795,16/4/2021
Morocco,504260,596,8927,7,490366,438,4967,243,16/4/2021
UAE,491423,1928,1545,4,475012,1614,14866,,16/4/2021
Saudi Arabia,402142,985,6791,10,386102,661,9249,999,16/4/2021
Bulgaria,382761,2185,14979,108,300391,3393,67391,811,16/4/2021
Slovakia,373950,843,10877,79,255300,,107773,472,16/4/2021
