CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Date
Malaysia,367977,2148,1363,10,349039,1259,17575,212,16/4/2021
Panama,359830,314,6183,6,349718,400,3929,105,16/4/2021
Ecuador,355431,4892,17489,89,298604,,39338,601,16/4/2021
Belarus,340023,1222,2393,10,330483,1348,7147,,16/4/2021
Greece,308006,3822,9239,104,264324,3148,34443,819,16/4/2021
Croatia,300900,2927,6442,43,279151,1457,15307,179,16/4/2021
Azerbaijan,294211,2317,4045,36,257942,2109,32224,,16/4/2021
Georgia,292244,1030,3908,7,279389,706,8947,,16/4/2021
Bolivia,285291,1108,12519,23,234596,950,38176,71,16/4/2021
Nepal,282054,490,3066,5,274604,157,4384,,16/4/2021
Tunisia,279376,2649,9553,73,231285,1531,38538,450,16/4/2021
Kazakhstan,278695,2641,3306,20,239448,2002,35941,221,16/4/2021
Palestine,276407,1717,2937,14,241343,2052,32127,177,16/4/2021
Dominican Republic,259639,379,3405,3,217613,327,38621,156,16/4/2021
Kuwait,253066,1391,1428,5,236384,1331,15254,244,16/4/2021
Paraguay,244528,2367,5110,70,200259,1786,39159,504,16/4/2021
Moldova,244177,812,5493,27,227569,1244,11115,290,16/4/2021
Ireland,242402,297,4820,8,222851,347,14731,51,16/4/2021
Denmark,240330,798,2449,2,229372,687,8509,37,16/4/2021
Ethiopia,236554,2149,3285,33,175879,1288,57390,1031,16/4/2021
Lithuania,230462,1168,3730,9,208890,767,17842,151,16/4/2021
Slovenia,229967,891,4142,7,212815,1330,13010,150,16/4/2021
Costa Rica,227533,1121,3065,11,196752,178,27716,236,16/4/2021
Egypt,213798,837,12611,41,161470,439,39717,90,16/4/2021
Guatemala,208694,1567,7120,31,188695,801,12879,5,16/4/2021
Armenia,206142,1014,3817,23,185125,882,17200,69464,16/4/2021
Honduras,198214,1510,4905,32,76130,49,117179,576,16/4/2021
Qatar,193952,989,357,9,171985,597,21610,489,16/4/2021
Bosnia and Herzegovina,187715,1343,7702,60,144932,988,35081,,16/4/2021
Venezuela,178094,,1834,,160620,,15640,237,16/4/2021
Oman,176668,1035,1821,14,156845,1200,18002,267,16/4/2021
Libya,170558,513,2873,39,155712,595,11973,,16/4/2021
Nigeria,164080,80,2061,,154285,15,7734,11,16/4/2021
Bahrain,160934,970,574,5,149159,1066,11201,89,16/4/2021
Uruguay,156499,4410,1726,79,122637,3249,32136,508,16/4/2021
Kenya,149219,1091,2424,4,99580,,47215,261,16/4/2021
North Macedonia,145001,890,4357,35,120707,1024,19937,124,16/4/2021
Myanmar,142610,,3206,,131879,5,7525,2607,16/4/2021
Albania,129128,169,2335,4,100013,572,26780,18,16/4/2021
Algeria,119142,167,3144,3,83048,119,32950,16,16/4/2021
Estonia,116200,572,1064,7,99096,1207,16040,63,16/4/2021
S. Korea,112117,698,1788,6,102513,530,7816,99,16/4/2021
Latvia,109731,643,2030,11,101088,624,6613,94,16/4/2021
Norway,106224,953,707,1,88952,,16565,55,16/4/2021
Sri Lanka,95949,212,608,4,92308,157,3033,,16/4/2021
Montenegro,95042,183,1412,7,89965,350,3665,69,16/4/2021
Ghana,91545,68,766,3,89400,99,1379,8,16/4/2021
Kyrgyzstan,91144,305,1540,6,86491,178,3113,25,16/4/2021
Zambia,90532,143,1230,1,88283,42,1019,51,16/4/2021
Cuba,90408,1004,491,4,85121,1007,4796,69,16/4/2021
Uzbekistan,85730,227,634,,83462,198,1634,23,16/4/2021
Finland,83253,289,885,4,46000,,36368,37,16/4/2021
Mozambique,69002,75,794,,61112,1140,7096,68,16/4/2021
El Salvador,66956,140,2060,3,63345,149,1551,57,16/4/2021
Luxembourg,64549,215,785,1,60563,360,3201,30,16/4/2021
Cameroon,61731,,919,,56926,,3886,385,16/4/2021
Singapore,60735,16,30,,60417,25,288,2,16/4/2021
Afghanistan,57612,78,2535,2,52083,61,2994,1124,16/4/2021
Cyprus,53944,690,283,6,39061,,14600,64,16/4/2021
Namibia,46185,134,596,4,44322,160,1267,33,16/4/2021
Ivory Coast,45444,56,273,2,44925,92,246,1690,16/4/2021
Botswana,44075,,671,8,39493,570,3911,1,16/4/2021
Jamaica,43240,186,697,5,19369,121,23174,32,16/4/2021
Uganda,41263,26,338,,40898,119,27,24,16/4/2021
Senegal,39606,46,1085,1,38343,53,178,17,16/4/2021
Thailand,37453,1543,97,,28383,61,8973,1,16/4/2021
Zimbabwe,37422,53,1550,2,34961,15,911,12,16/4/2021
Malawi,33902,11,1134,,31691,16,1077,20,16/4/2021
Sudan,31790,,2208,,25539,,4043,712,16/4/2021
Madagascar,30207,859,527,7,24893,198,4787,301,16/4/2021
Malta,29833,55,403,,28842,45,588,,16/4/2021
Australia,29469,27,910,,26385,5,2174,,16/4/2021
DRC,28769,55,745,,25841,2183,2183,314,16/4/2021
Maldives,25939,95,67,,23242,101,2630,82,16/4/2021
Angola,23951,110,557,,22175,31,1219,20,16/4/2021
Rwanda,23744,72,321,4,21805,211,1618,8,16/4/2021
Gabon,21566,,132,,18219,,3215,20,16/4/2021
Guinea,21299,,136,,18815,,2348,24,16/4/2021
Syria,20713,158,1414,12,14469,134,4830,,16/4/2021
Cabo Verde,19780,255,188,,17802,157,1790,23,16/4/2021
Mayotte,19757,,168,,2964,,16625,6,16/4/2021
French Polynesia,18680,141,141,4842,4842,,13697,1,16/4/2021
Mongolia,18565,742,31,2,10638,385,7896,88,16/4/2021
Réunion,18425,,135,,16794,,1496,54,16/4/2021
Eswatini,18412,5,670,,17682,,60,3,16/4/2021
Mauritania,18072,6,452,17453,25,167,14,3809,16/4/2021
French Guiana,17965,82,95,9995,7875,,12,58953,16/4/2021
Tajikistan,13308,,90,,13218,,0,,16/4/2021
Burkina Faso,13064,,14,,154,,12730,,16/4/2021
Haiti,12876,,19,,251,,11723,,16/4/2021
Somalia,12837,,656,,5346,,6835,,16/4/2021
Guadeloupe,12717,176,2242,10299,13,,31778,440,16/4/2021
Mali,12706,239,421,2,7261,23,5024,,16/4/2021
Andorra,12641,121,11989,,531,29,163399,1564,16/4/2021
Belize,12529,7,318,,12141,1,70,1,16/4/2021
Togo,12214,,117,,9543,,2554,,16/4/2021
Curaçao,11674,93,80,2,7981,315,3613,22,16/4/2021
Hong Kong,11619,6,209,11246,9,164,6,1540,16/4/2021
Guyana,11527,153,263,3,10015,135,1249,10,16/4/2021
Lesotho,10709,,315,,5028,,5366,,16/4/2021
South Sudan,10416,,11,,114,,10148,,16/4/2021
Djibouti,10275,73,110,4,8745,154,1420,,16/4/2021
Aruba,10219,60,92,,9611,38,516,14,16/4/2021
Congo,10084,,139,,8208,,1737,,16/4/2021
Martinique,9890,64,98,9728,24,26371,171,140946,16/4/2021
Bahamas,9505,190,8965,,350,3,23990,480,16/4/2021
Suriname,9458,41,185,1,8751,26,522,12,16/4/2021
Papua New Guinea,9188,204,82,,11,,846,,16/4/2021
Trinidad and Tobago,8678,82,150,,2,7843,25,685,16/4/2021
Benin,7611,,95,,6728,,788,35,16/4/2021
Equatorial Guinea,7259,,106,,6885,,268,11,16/4/2021
Nicaragua,6778,180,4225,2373,1014,,27,,16/4/2021
Iceland,6279,4,29,,6170,7,80,,16/4/2021
Gambia,5694,,12,,170,,5176,11,16/4/2021
CAR,5682,75,5112,,495,,2,1161,16/4/2021
Yemen,5657,75,1097,14,2178,50,2382,23,16/4/2021
Cambodia,5218,344,36,1,2319,29,2863,,16/4/2021
Niger,5113,,5,,190,,1,4767,16/4/2021
San Marino,5010,5,86,,4671,47,253,7,16/4/2021
Seychelles,4765,132,25,,4351,41,389,,16/4/2021
Chad,4673,11,168,1,4320,8,185,278,16/4/2021
Saint Lucia,4355,,64,,4225,,46,66,16/4/2021
Gibraltar,4290,,94,,4181,,15,,16/4/2021
Channel Islands,4053,86,3956,,11,,1,23144,16/4/2021
Sierra Leone,4016,3,79,,2833,1,1104,,16/4/2021
Comoros,3809,6,146,,3589,7,74,4308,16/4/2021
Barbados,3753,9,44,,3638,4,71,,16/4/2021
Guinea-Bissau,3706,12,66,,3106,13,534,11,16/4/2021
Eritrea,3486,7,10,3280,7,196,972,3,16/4/2021
Burundi,3424,91,6,,773,,2645,,16/4/2021
Liechtenstein,2780,10,56,,2657,11,67,5,16/4/2021
Vietnam,2758,25,35,,2445,,278,28,16/4/2021
New Zealand,2591,2,26,,2464,2,101,,16/4/2021
Monaco,2387,3,31,,2268,2,88,5,16/4/2021
Turks and Caicos,2367,7,17,,2285,65,2,60494,16/4/2021
Sao Tome and Principe,2271,2,35,,2201,5,35,,16/4/2021
Sint Maarten,2199,3,27,,2136,3,36,1,16/4/2021
Liberia,2042,,85,,1899,,58,2,16/4/2021
Bermuda,2023,88,17,,1,1140,89,866,16/4/2021
St. Vincent Grenadines,1818,,6,,10,,1677,131,16/4/2021
Saint Martin,1702,,9,,12,,1399,291,16/4/2021
Isle of Man,1575,,29,,1534,,89,,16/4/2021
Caribbean Netherlands,1529,3,14,,1430,14,85,,16/4/2021
Antigua and Barbuda,1209,8,31,947,231,4,12266,315,16/4/2021
Mauritius,1202,1,15,,865,,24,,16/4/2021
Timor-Leste,1138,35,2,564,572,850,1,54468,16/4/2021
Taiwan,1068,1,11,1031,2,26,45,0.5,16/4/2021
Bhutan,934,5,1,,876,,57,,16/4/2021
St. Barth,934,,27,,1,,462,,16/4/2021
Diamond Princess,712,,13,,699,,0,,16/4/2021
Faeroe Islands,662,,1,,660,,1,,16/4/2021
Cayman Islands,523,2,499,,1,22,7885,,16/4/2021
Tanzania,509,,21,,183,,305,7,16/4/2021
Wallis and Futuna,437,,5,,44,,388,3,16/4/2021
Brunei,221,,3,,206,,12,,16/4/2021
British Virgin Islands,178,,1,,159,,18,,16/4/2021
Dominica,165,,,,159,,6,,16/4/2021
Grenada,155,,1,,152,,2,,16/4/2021
New Caledonia,121,,,,58,,63,,16/4/2021
Fiji,68,,2,,64,,2,,16/4/2021
