,CountryName,Total Case,New Case,Total Deaths,new Deaths,Total Recovered,Active Cases,Critical Cases,Total Case / 1M Pop,Deaths / 1M Pop,Total Tests,Total Tests / 1M Pop,Population
100,Singapore,60692,14.0,30.0,0.0,60357.0,305.0,1.0,10311,5.0,8789647.0,1493265.0,5886193
101,Afghanistan,57492,128.0,2532.0,3.0,52013.0,2947.0,1124.0,1452,64.0,374076.0,9445.0,39607351
102,Cyprus,52033,0.0,273.0,0.0,39061.0,12699.0,56.0,42853,225.0,4001418.0,3295494.0,1214209
103,Namibia,45787,0.0,575.0,0.0,43721.0,1491.0,32.0,17770,223.0,363659.0,141138.0,2576611
104,Ivory Coast,45227,0.0,268.0,0.0,44683.0,276.0,0.0,1682,10.0,557294.0,20730.0,26883682
105,Botswana,43444,0.0,663.0,0.0,38923.0,3858.0,1.0,18189,278.0,958802.0,401435.0,2388438
106,Jamaica,42763,0.0,676.0,0.0,19017.0,23070.0,49.0,14392,228.0,305709.0,102889.0,2971251
107,Uganda,41174,0.0,337.0,0.0,40779.0,58.0,24.0,879,7.0,969637.0,20694.0,46855361
108,Senegal,39465,0.0,1079.0,0.0,38215.0,171.0,17.0,2310,63.0,455488.0,26660.0,17085094
109,Zimbabwe,37307,0.0,1542.0,0.0,34901.0,864.0,12.0,2482,103.0,394257.0,26229.0,15031062
110,Thailand,34575,965.0,97.0,0.0,28288.0,6190.0,1.0,494,1.0,8124896.0,116175.0,69936717
111,Malawi,33859,0.0,1132.0,0.0,31572.0,1155.0,21.0,1735,58.0,224636.0,11513.0,19512250
112,Sudan,30111,0.0,2063.0,0.0,24214.0,3834.0,0.0,675,46.0,232965.0,5219.0,44641909
113,Malta,29661,0.0,402.0,0.0,28706.0,553.0,0.0,67036,909.0,834763.0,1886636.0,442461
114,Australia,29426,7.0,910.0,1.0,26361.0,2155.0,0.0,1144,35.0,16161532.0,628118.0,25730082
115,DRC,28542,0.0,745.0,0.0,25841.0,1956.0,0.0,311,8.0,143197.0,1562.0,91662959
116,Madagascar,28541,0.0,506.0,0.0,24105.0,3930.0,246.0,1011,18.0,155563.0,5508.0,28241598
117,Maldives,25701,0.0,67.0,0.0,22796.0,2838.0,82.0,46905,122.0,670883.0,1224389.0,547933
118,Angola,23549,0.0,554.0,0.0,22093.0,902.0,15.0,700,16.0,443086.0,13165.0,33655110
119,Rwanda,23535,0.0,316.0,0.0,21272.0,1947.0,8.0,1783,24.0,1224739.0,92779.0,13200639
120,Guinea,21106,74.0,136.0,0.0,18686.0,2284.0,24.0,1574,10.0,416078.0,31032.0,13408133
121,Gabon,20971,0.0,129.0,0.0,17762.0,3080.0,20.0,9253,57.0,669004.0,295185.0,2266390
122,Syria,20331,0.0,1385.0,0.0,14122.0,4824.0,0.0,1140,78.0,103566.0,5809.0,17829667
123,Mayotte,19706,0.0,167.0,0.0,2964.0,16575.0,8.0,70908,601.0,165683.0,596177.0,277909
124,Cabo Verde,19110,0.0,184.0,0.0,17399.0,1527.0,23.0,34083,328.0,136977.0,244302.0,560687
125,French Polynesia,18666,0.0,141.0,0.0,4842.0,13683.0,2.0,66151,500.0,26355.0,93400.0,282174
126,Eswatini,18393,0.0,669.0,0.0,17682.0,42.0,3.0,15727,572.0,173720.0,148540.0,1169515
127,Mauritania,18035,0.0,450.0,0.0,17373.0,212.0,14.0,3802,95.0,215922.0,45513.0,4744159
128,French Guiana,17706,0.0,94.0,0.0,9995.0,7617.0,9.0,58116,309.0,171169.0,561820.0,304669
129,Réunion,17508,0.0,123.0,0.0,16011.0,1374.0,54.0,19447,137.0,100098.0,111184.0,900292
130,Mongolia,16603,885.0,27.0,2.0,9887.0,6689.0,88.0,5002,8.0,2492932.0,751044.0,3319290
131,Tajikistan,13308,0.0,90.0,0.0,13218.0,0.0,0.0,1371,9.0,0.0,0.0,9703563
132,Burkina Faso,12989,0.0,153.0,0.0,12627.0,209.0,0.0,608,7.0,175352.0,8215.0,21346254
133,Haiti,12855,0.0,251.0,0.0,11513.0,1091.0,0.0,1117,22.0,60085.0,5220.0,11510653
134,Andorra,12581,0.0,121.0,0.0,11890.0,570.0,12.0,162625,1564.0,193595.0,2502456.0,77362
135,Somalia,12566,0.0,618.0,0.0,5270.0,6678.0,0.0,774,38.0,100631.0,6198.0,16235833
136,Belize,12503,0.0,318.0,0.0,12134.0,51.0,1.0,31007,789.0,106371.0,263798.0,403229
137,Guadeloupe,12140,0.0,174.0,0.0,2242.0,9724.0,13.0,30337,435.0,159029.0,397397.0,400177
138,Togo,12034,0.0,116.0,0.0,9303.0,2615.0,0.0,1428,14.0,292368.0,34686.0,8428939
139,Mali,12002,0.0,414.0,0.0,7166.0,4422.0,0.0,580,20.0,243860.0,11780.0,20701344
140,Hong Kong,11608,13.0,207.0,0.0,11227.0,174.0,7.0,1539,27.0,11193673.0,1483712.0,7544369
141,Curaçao,11385,0.0,68.0,0.0,6845.0,4472.0,22.0,69161,413.0,85247.0,517851.0,164617
142,Guyana,11189,0.0,257.0,0.0,9751.0,1181.0,17.0,14172,326.0,99746.0,126339.0,789513
143,Lesotho,10709,0.0,315.0,0.0,5028.0,5366.0,0.0,4968,146.0,71629.0,33231.0,2155481
144,South Sudan,10381,0.0,114.0,0.0,10148.0,119.0,0.0,919,10.0,139846.0,12380.0,11295828
145,Congo,10084,0.0,137.0,0.0,8208.0,1739.0,0.0,1793,24.0,92500.0,16450.0,5623185
146,Aruba,10076,0.0,92.0,0.0,9468.0,516.0,14.0,94063,859.0,136656.0,1275728.0,107120
147,Djibouti,9975,0.0,100.0,0.0,8184.0,1691.0,0.0,9983,100.0,140642.0,140760.0,999165
148,Bahamas,9460,0.0,190.0,0.0,8865.0,405.0,4.0,23879,480.0,80573.0,203380.0,396170
149,Suriname,9316,0.0,182.0,0.0,8700.0,434.0,10.0,15770,308.0,46195.0,78200.0,590726
150,Martinique,9028,0.0,57.0,0.0,98.0,8873.0,5.0,24072,152.0,133358.0,355585.0,375038
151,Papua New Guinea,8821,219.0,69.0,0.0,846.0,7906.0,0.0,972,8.0,70260.0,7739.0,9078488
152,Trinidad and Tobago,8441,0.0,146.0,0.0,7775.0,520.0,14.0,6016,104.0,117847.0,83995.0,1403025
153,Benin,7515,0.0,93.0,0.0,6452.0,970.0,35.0,608,8.0,548484.0,44344.0,12368739
154,Equatorial Guinea,7219,0.0,106.0,0.0,6799.0,314.0,11.0,5018,74.0,115364.0,80196.0,1438522
155,Nicaragua,6727,0.0,179.0,0.0,4225.0,2323.0,0.0,1006,27.0,0.0,0.0,6685869
156,Iceland,6267,0.0,29.0,0.0,6140.0,98.0,0.0,18273,85.0,562645.0,1640513.0,342969
157,Gambia,5602,0.0,168.0,0.0,5145.0,289.0,3.0,2269,68.0,59297.0,24015.0,2469123
158,CAR,5491,0.0,74.0,0.0,5056.0,361.0,2.0,1122,15.0,40907.0,8357.0,4894947
159,Yemen,5446,0.0,1068.0,0.0,2059.0,2319.0,23.0,180,35.0,22934.0,756.0,30334834
160,Niger,5081,0.0,189.0,0.0,4760.0,132.0,1.0,204,8.0,93751.0,3768.0,24881206
161,San Marino,4962,0.0,86.0,0.0,4510.0,366.0,8.0,145997,2530.0,56114.0,1651043.0,33987
162,Cambodia,4696,181.0,33.0,3.0,2252.0,2411.0,0.0,278,2.0,782811.0,46323.0,16898828
163,Chad,4641,0.0,167.0,0.0,4298.0,176.0,0.0,276,10.0,110863.0,6603.0,16789929
164,Seychelles,4444,0.0,25.0,0.0,4161.0,258.0,0.0,44970,253.0,21504.0,217603.0,98822
165,Saint Lucia,4355,0.0,64.0,0.0,4179.0,112.0,1.0,23632,347.0,37758.0,204893.0,184282
166,Gibraltar,4277,0.0,94.0,0.0,4181.0,2.0,0.0,126978,2791.0,219808.0,6525785.0,33683
167,Channel Islands,4051,0.0,86.0,0.0,3956.0,9.0,1.0,23134,491.0,399901.0,2283700.0,175111
168,Sierra Leone,4008,0.0,79.0,0.0,2831.0,1098.0,0.0,495,10.0,118332.0,14604.0,8102739
169,Comoros,3789,0.0,146.0,0.0,3577.0,66.0,0.0,4286,165.0,0.0,0.0,883955
170,Barbados,3734,0.0,44.0,0.0,3613.0,77.0,0.0,12981,153.0,146355.0,508795.0,287650
171,Guinea-Bissau,3680,0.0,66.0,0.0,3069.0,545.0,9.0,1836,33.0,60281.0,30080.0,2004008
172,Eritrea,3466,0.0,10.0,0.0,3196.0,260.0,0.0,967,3.0,23693.0,6610.0,3584575
173,Burundi,3154,0.0,6.0,0.0,773.0,2375.0,0.0,259,0.5,90019.0,7400.0,12164194
174,Liechtenstein,2754,0.0,56.0,0.0,2625.0,73.0,5.0,72070,1465.0,32252.0,844006.0,38213
175,Vietnam,2707,2.0,35.0,0.0,2445.0,227.0,0.0,28,0.4,2598753.0,26512.0,98020700
176,New Zealand,2587,4.0,26.0,0.0,2459.0,102.0,0.0,517,5.0,1948223.0,389481.0,5002100
177,Monaco,2377,0.0,31.0,0.0,2247.0,99.0,6.0,60240,786.0,51953.0,1316632.0,39459
178,Turks and Caicos,2357,0.0,17.0,0.0,2283.0,57.0,2.0,60244,435.0,41059.0,1049458.0,39124
179,Sao Tome and Principe,2267,0.0,35.0,0.0,2188.0,44.0,0.0,10197,157.0,12597.0,56663.0,222316
180,Sint Maarten,2185,0.0,27.0,0.0,2118.0,40.0,1.0,50514,624.0,25304.0,584996.0,43255
181,Liberia,2042,0.0,85.0,0.0,1899.0,58.0,2.0,397,17.0,79684.0,15473.0,5149709
182,Bermuda,1891,0.0,16.0,0.0,998.0,877.0,36.0,30452,258.0,217688.0,3505556.0,62098
183,St. Vincent Grenadines,1806,0.0,10.0,0.0,1665.0,131.0,2.0,16239,90.0,43985.0,395495.0,111215
184,Saint Martin,1693,0.0,12.0,0.0,1399.0,282.0,7.0,43213,306.0,26385.0,673465.0,39178
185,Isle of Man,1574,0.0,29.0,0.0,1445.0,100.0,0.0,18434,340.0,44761.0,524232.0,85384
186,Caribbean Netherlands,1519,0.0,14.0,0.0,1396.0,109.0,0.0,57510,530.0,10011.0,379018.0,26413
187,Antigua and Barbuda,1198,0.0,30.0,0.0,938.0,230.0,45.0,12155,304.0,16493.0,167338.0,98561
188,Mauritius,1197,4.0,15.0,0.0,797.0,385.0,0.0,940,12.0,358675.0,281664.0,1273416
189,Taiwan,1062,4.0,11.0,0.0,1027.0,24.0,0.0,45,0.5,513203.0,21518.0,23850438
190,Timor-Leste,1046,0.0,1.0,0.0,550.0,495.0,0.0,782,0.7,50556.0,37787.0,1337923
191,Bhutan,921,0.0,1.0,0.0,875.0,45.0,0.0,1183,1.0,652722.0,838737.0,778220
192,St. Barth,907,0.0,1.0,0.0,462.0,444.0,0.0,91607,101.0,26385.0,2664882.0,9901
193,Faeroe Islands,661,0.0,1.0,0.0,660.0,0.0,0.0,13488,20.0,246793.0,5035770.0,49008
194,Cayman Islands,516,0.0,2.0,0.0,487.0,27.0,0.0,7780,30.0,84802.0,1278641.0,66322
195,Tanzania,509,0.0,21.0,0.0,183.0,305.0,7.0,8,0.3,0.0,0.0,61048540
196,Wallis and Futuna,437,0.0,5.0,0.0,44.0,388.0,3.0,39426,451.0,1331.0,120083.0,11084
197,Brunei ,219,0.0,3.0,0.0,206.0,10.0,0.0,497,7.0,116596.0,264545.0,440741
198,British Virgin Islands,178,0.0,1.0,0.0,159.0,18.0,0.0,5858,33.0,13223.0,435139.0,30388
199,Dominica,165,0.0,0.0,0.0,159.0,6.0,0.0,2288,0.0,13500.0,187172.0,72126
200,Grenada,155,0.0,1.0,0.0,152.0,2.0,0.0,1373,9.0,23989.0,212424.0,112930
201,New Caledonia,121,0.0,0.0,0.0,58.0,63.0,0.0,421,0.0,29182.0,101455.0,287635
