CountryName,Total Case,New Case,Total Deaths,new Deaths,Total Recovered,Active Cases,Critical Cases,Total Case / 1M Pop,Deaths / 1M Pop,Total Tests,Total Tests / 1M Pop,Population
Kuwait,"245,704",,"1,403 ",,"229,846",,"14,455",226,"56,885",325,"2,151,495","498,112"
Moldova,"240,886",,"5,369 ",,"221,968",,"13,549",312,"59,822","1,333","899,947","223,496"
Ireland,"240,643",,"4,783 ",,"23,364",,"212,496",48,"48,318",960,"4,168,990","837,078"
Denmark,"237,792",+691,"2,441 ",+2,"226,630",+662,"8,721",38,"40,942",420,"29,118,371","5,013,485"
Paraguay,"233,745",,"4,749 ",,"191,614",,"37,382",444,"32,464",660,"969,044","134,586"
Ethiopia,"227,255",,"3,146 ",,"169,038",,"55,071",933,"1,940",27,"2,437,495","20,806"
Slovenia,"226,499",+548,"4,119 ",+7,"208,561",+634,"13,819",139,"108,938","1,981","1,103,860","530,916"
Lithuania,"226,173",+839,"3,687 ",+12,"205,897",+129,"16,589",150,"83,995","1,369","2,490,755","925,009"
Costa Rica,"222,544",,"3,018 ",,"194,760",,"24,766",199,"43,380",588,"842,015","164,133"
Egypt,"209,677",,"12,405 ",,"159,054",,"38,218",90,"2,020",119,"2,507,491","24,152"
Armenia,"202,817",+650,"3,735 ",+15,"181,963",+783,"17,119",,"68,345","1,259","902,716","304,197"
Guatemala,"202,640",,"7,001 ",,"184,758",,"10,881",5,"11,152",385,"1,103,938","60,753"
Honduras,"195,525",+977,"4,770 ",+4,"75,553",+320,"115,202",526,"19,502",476,"539,992","53,859"
Qatar,"190,025",+961,333 ,+2,"169,635",+549,"20,057",461,"67,677",119,"1,802,462","641,947"
Bosnia and Herzegovina,"181,927",,"7,298 ",,"139,419",,"35,210",,"55,721","2,235","835,478","255,893"
Venezuela,"173,786",,"1,759 ",,"156,472",,"15,555",237,"6,125",62,"3,359,014","118,386"
Oman,"171,549","+3,544","1,776 ",+29,"152,784","+2,815","16,989",229,"32,950",341,"1,550,000","297,712"
Libya,"167,825",+937,"2,823 ",+16,"152,921",+593,"12,081",,"24,170",407,"910,823","131,178"
Nigeria,"163,736",,"2,060 ",,"154,098",,"7,578",11,779,10,"1,803,177","8,584"
Bahrain,"155,402",,554 ,,"143,889",,"10,959",86,"88,963",317,"3,761,531","2,153,369"
Kenya,"145,184",,"2,330 ",,"98,605",,"44,249",247,"2,655",43,"1,557,704","28,486"
Myanmar,"142,576",+4,"3,206 ",,"131,853",+7,"7,517",,"2,607",59,"2,553,078","46,681"
Uruguay,"141,380",,"1,414 ",,"104,434",,"35,532",471,"40,591",406,"1,519,522","436,261"
North Macedonia,"141,157",,"4,182 ",,"115,433",,"21,542",124,"67,756","2,007","666,091","319,728"
Albania,"128,155",,"2,310 ",,"97,206",,"28,639",18,"44,570",803,"582,645","202,634"
Algeria,"118,378",,"3,126 ",,"82,493",,"32,759",19,"2,663",70,"230,861","5,192"
Estonia,"114,174",+438,"1,028 ",+8,"94,807",+601,"18,339",72,"86,024",775,"1,195,859","901,021"
S. Korea,"109,559",+614,"1,768 ",+3,"100,109",+808,"7,682",105,"2,136",34,"8,129,532","158,460"
Latvia,"107,608",+368,"1,986 ",,"99,162",,"6,460",94,"57,546","1,062","2,026,131","1,083,517"
Norway,"103,200",,684 ,,"88,952",,"13,564",57,"18,922",125,"4,824,081","884,497"
Sri Lanka,"95,018",+170,596 ,+1,"91,631",+175,"2,791",,"4,423",28,"2,374,627","110,536"
Montenegro,"94,035",,"1,365 ",,"88,144",,"4,526",69,"149,707","2,173","351,107","558,974"
Ghana,"91,260",,754 ,,"89,092",,"1,414",10,"2,891",24,"1,025,654","32,486"
Zambia,"90,029",+111,"1,226 ",,"88,018","+1,205",785,59,"4,794",65,"1,305,345","69,511"
Kyrgyzstan,"90,019",,"1,519 ",,"85,824",,"2,676",24,"13,624",230,"897,438","135,828"
Cuba,"85,572",,453 ,,"79,958",,"5,161",66,"7,559",40,"3,191,858","281,935"
Uzbekistan,"84,922",+198,634 ,,"82,760",+174,"1,528",23,"2,509",19,"1,377,915","40,714"
Finland,"82,053",+346,868 ,,"46,000",,"35,185",41,"14,791",156,"4,145,966","747,372"
Mozambique,"68,578",,789 ,,"58,383",,"9,406",68,"2,148",25,"494,568","15,490"
El Salvador,"66,489",+174,"2,051 ",+3,"62,958",+618,"1,480",60,"10,211",315,"871,383","133,821"
Luxembourg,"63,650",,768 ,,"58,874",,"4,008",30,"100,421","1,212","2,490,226","3,928,849"
Cameroon,"61,731",,919 ,,"56,926",,"3,886",385,"2,282",34,"1,187,367","43,890"
Singapore,"60,653",+20,30 ,,"60,322",,301,1,"10,305",5,"8,789,647","1,493,329"
Afghanistan,"57,242",+82,"2,529 ",+8,"51,989",+27,"2,724","1,120","1,445",64,"369,631","9,334"
Cyprus,"51,035",,272 ,,"39,061",,"11,702",52,"42,033",224,"3,888,225","3,202,397"
Namibia,"45,527",+204,570 ,+6,"43,640",+85,"1,317",34,"17,671",221,"361,681","140,385"
Ivory Coast,"45,145",+56,261 ,+1,"44,473",+276,411,,"1,679",10,"551,900","20,532"
Botswana,"42,674",,636 ,,"38,203",,"3,835",1,"17,869",266,"944,985","395,693"
Jamaica,"42,119",,669 ,,"18,785",,"22,665",44,"14,176",225,"301,319","101,414"
Uganda,"41,140",+27,337 ,,"40,685",,118,24,878,7,"967,026","20,642"
Senegal,"39,431",+67,"1,078 ",+1,"38,174",+73,179,16,"2,308",63,"454,201","26,588"
Zimbabwe,"37,273",,"1,538 ",,"34,862",,873,12,"2,480",102,"393,000","26,148"
Malawi,"33,805",,"1,127 ",,"31,360",,"1,318",23,"1,733",58,"223,379","11,450"
Thailand,"32,625",+967,97 ,,"28,214",+53,"4,314",1,466,1,"8,124,896","116,177"
Sudan,"30,111",,"2,063 ",,"24,214",,"3,834",,675,46,"232,965","5,219"
Malta,"29,614",+66,402 ,,"28,654",+44,558,,"66,931",909,"832,727","1,882,060"
Australia,"29,402",+6,909 ,,"26,356",+4,"2,137",,"1,143",35,"16,101,054","625,807"
DRC,"28,542",,745 ,,"25,841",,"1,956",,311,8,"143,197","1,562"
Madagascar,"28,063",+515,500 ,+7,"23,878",+397,"3,685",246,994,18,"154,334","5,466"
Maldives,"25,524",,67 ,,"22,429",,"3,028",82,"46,587",122,"665,151","1,214,043"
Rwanda,"23,343",,314 ,,"21,072",,"1,957",6,"1,769",24,"1,214,021","91,979"
Angola,"23,331",,550 ,,"21,890",,891,13,693,16,"440,970","13,105"
Guinea,"20,807",,133 ,,"18,473",,"2,201",24,"1,552",10,"413,716","30,860"
Gabon,"20,636",,127 ,,"17,456",,"3,053",20,"9,106",56,"662,689","292,436"
Syria,"20,118",,"1,368 ",,"13,895",,"4,855",,"1,128",77,,
Mayotte,"19,643",,167 ,,"2,964",,"16,512",7,"70,691",601,"162,430","584,548"
French Polynesia,"18,652",,141 ,,"4,842",,"13,669",2,"66,103",500,"26,355","93,403"
Cabo Verde,"18,629",,177 ,,"17,077",,"1,375",23,"33,227",316,"136,106","242,763"
Mauritania,"18,012",,450 ,,"17,322",,240,14,"3,797",95,"214,857","45,295"
French Guiana,"17,549",,94 ,,"9,995",,"7,460",9,"57,608",309,"169,271","555,666"
Réunion,"17,508",,123 ,,"16,011",,"1,374",54,"19,448",137,"100,098","111,188"
Eswatini,"17,373",,669 ,,"16,645",,59,3,"14,856",572,"173,142","148,054"
Mongolia,"15,014",+831,22 ,+2,"9,159",+284,"5,833",88,"4,524",7,"2,446,241","737,041"
Tajikistan,"13,308",,90 ,,"13,218",,0,,"1,372",9,,
Burkina Faso,"12,956",,152 ,,"12,593",,211,,607,7,"175,176","8,208"
Haiti,"12,840",,251 ,,"11,447",,"1,142",,"1,116",22,"54,379","4,725"
Andorra,"12,545",+48,120 ,,"11,825",+55,600,12,"162,162","1,551","193,595","2,502,488"
Belize,"12,485",,318 ,,"12,106",,61,1,"30,966",789,"103,373","256,388"
Somalia,"12,271",,605 ,,"5,129",,"6,537",,756,37,"98,053","6,040"
Guadeloupe,"12,140",,174 ,,"2,242",,"9,724",13,"30,337",435,"159,029","397,397"
Togo,"11,947",,116 ,,"9,190",,"2,641",,"1,418",14,"290,782","34,502"
Mali,"11,705",,405 ,,"7,101",,"4,199",,566,20,"242,445","11,713"
Hong Kong,"11,582",+13,207 ,,"11,206",+13,169,7,"1,535",27,"11,193,673","1,483,778"
Curaçao,"11,180",,63 ,,"6,405",,"4,712",22,"67,917",383,"83,985","510,197"
Guyana,"11,044",,252 ,,"9,688",,"1,104",14,"13,989",319,"98,199","124,383"
Lesotho,"10,707",,315 ,,"4,674",,"5,718",,"4,968",146,"71,129","33,001"
South Sudan,"10,372",+13,114 ,,"10,090",,168,,918,10,"139,379","12,340"
Congo,"10,084",,137 ,,"8,208",,"1,739",,"1,794",24,"92,500","16,452"
Aruba,"10,016",,92 ,,"9,351",,573,14,"93,505",859,"134,854","1,258,941"
Djibouti,"9,722",,94 ,,"7,763",,"1,865",,"9,731",94,"138,936","139,063"
Bahamas,"9,364",,189 ,,"8,837",,338,4,"23,638",477,"79,493","200,664"
Suriname,"9,278",,179 ,,"8,654",,445,9,"15,707",303,"45,980","77,840"
Martinique,"9,028",,57 ,,98,,"8,873",5,"24,072",152,"133,358","355,584"
Papua New Guinea,"8,442",+100,68 ,,846,,"7,528",,930,7,"70,260","7,740"
Trinidad and Tobago,"8,382",,145 ,,"7,723",,514,14,"5,974",103,"115,591","82,388"
Benin,"7,515",,93 ,,"6,452",,970,35,608,8,"548,484","44,351"
Equatorial Guinea,"7,219",,106 ,,"6,799",,314,11,"5,019",74,"115,364","80,210"
Nicaragua,"6,727",,179 ,,"4,225",,"2,323",,"1,006",27,,
Iceland,"6,258",,29 ,,"6,126",,103,,"18,247",85,"558,666","1,628,968"
Gambia,"5,602",,168 ,,"5,145",,289,3,"2,269",68,"59,297","24,019"
CAR,"5,491",,74 ,,"5,056",,361,2,"1,122",15,"40,907","8,358"
Yemen,"5,276",,"1,031 ",,"2,027",,"2,218",23,174,34,"20,872",688
Niger,"5,072",,188 ,,"4,747",,137,1,204,8,"93,345","3,752"
San Marino,"4,956",,85 ,,"4,477",,394,10,"145,825","2,501","55,935","1,645,825"
Chad,"4,625",,167 ,,"4,286",,172,,276,10,"110,863","6,604"
Seychelles,"4,395",,24 ,,"4,091",,280,,"44,476",243,"21,504","217,612"
Saint Lucia,"4,347",,64 ,,"4,160",,123,3,"23,589",347,"37,489","203,438"
Gibraltar,"4,277",,94 ,,"4,180",,3,,"126,978","2,791","219,563","6,518,511"
Cambodia,"4,238",+157,29 ,+3,"2,152",+72,"2,057",,251,2,"770,928","45,624"
Channel Islands,"4,051",,86 ,,"3,956",,9,1,"23,135",491,"399,901","2,283,817"
Sierra Leone,"3,995",,79 ,,"2,828",,"1,088",,493,10,"118,332","14,606"
Comoros,"3,789",,146 ,,"3,577",,66,,"4,287",165,,
Barbados,"3,719",,44 ,,"3,587",,88,,"12,929",153,"145,814","506,918"
Guinea-Bissau,"3,678",,66 ,,"3,059",,553,9,"1,836",33,"60,171","30,029"
Eritrea,"3,447",,10 ,,"3,166",,271,,962,3,"23,693","6,610"
Burundi,"3,119",,6 ,,773,,"2,340",,256,0.5,"90,019","7,402"
Liechtenstein,"2,753",+15,56 ,,"2,606",,91,4,"72,044","1,465","32,252","844,006"
Vietnam,"2,693",+1,35 ,,"2,429",,229,,27,0.4,"2,598,753","26,514"
New Zealand,"2,574",+3,26 ,,"2,440",,108,,515,5,"1,942,141","388,265"
Monaco,"2,374",,31 ,,"2,230",,113,6,"60,167",786,"51,953","1,316,699"
Turks and Caicos,"2,357",,17 ,,"2,280",,60,2,"60,249",435,"39,783","1,016,922"
Sao Tome and Principe,"2,263",,35 ,,"2,179",,49,,"10,180",157,"12,597","56,668"
Sint Maarten,"2,185",,27 ,,"2,118",,40,1,"50,518",624,"25,304","585,037"
Liberia,"2,042",,85 ,,"1,899",,58,2,397,17,"79,684","15,475"
St. Vincent Grenadines,"1,790",,10 ,,"1,651",,129,2,"16,095",90,"43,812","393,947"
Bermuda,"1,773",,14 ,,888,,871,28,"28,551",225,"214,340","3,451,585"
Saint Martin,"1,693",,12 ,,"1,399",,282,7,"43,217",306,"26,385","673,533"
Isle of Man,"1,574",,29 ,,"1,445",,100,,"18,435",340,"44,761","524,250"
Caribbean Netherlands,"1,516",,14 ,,"1,365",,137,,"57,400",530,"10,011","379,047"
Antigua and Barbuda,"1,197",,30 ,,936,,231,45,"12,145",304,"16,493","167,346"
Mauritius,"1,192",+2,12 ,,775,+25,405,,936,9,"358,675","281,666"
Taiwan,"1,057",+1,11 ,+1,"1,022",+2,24,,44,0.5,"498,329","20,894"
Timor-Leste,947,,1 ,,443,,503,,708,0.7,"48,364","36,152"
Bhutan,918,+8,1 ,,875,,42,,"1,180",1,"651,942","837,784"
St. Barth,907,,1 ,,462,,444,,"91,616",101,"26,385","2,665,152"
Faeroe Islands,661,,1 ,,660,,0,,"13,488",20,"246,276","5,025,323"
Cayman Islands,516,,2 ,,487,,27,,"7,781",30,"84,802","1,278,718"
Tanzania,509,,21 ,,183,,305,7,8,0.3,,
Wallis and Futuna,432,,5 ,,44,,383,3,"38,972",451,"1,331","120,072"
Brunei ,219,,3 ,,206,,10,,497,7,"116,596","264,559"
British Virgin Islands,178,,1 ,,159,,18,,"5,858",33,"13,223","435,153"
Dominica,165,, ,,159,,6,,"2,288",,"13,500","187,175"
Grenada,155,,1 ,,152,,2,,"1,373",9,"23,989","212,429"
New Caledonia,121,, ,,58,,63,,421,,"29,017","100,887"
Fiji,68,,2 ,,64,,2,,75,2,"40,300","44,705"
Falkland Islands,60,, ,,54,,6,,"16,863",,"7,165","2,013,772"
Laos,51,+2, ,,47,,4,,7,,"142,596","19,382"
Macao,49,, ,,48,,1,,75,,"4,418","6,733"
Saint Kitts and Nevis,44,, ,,44,,0,,823,,"12,381","231,464"
Greenland,31,, ,,31,,0,,545,,"20,669","363,596"
Vatican City,27,, ,,15,,12,,"33,624",,,
Anguilla,25,, ,,22,,3,,"1,655",,"14,579","965,049"
Saint Pierre Miquelon,24,, ,,24,,0,,"4,158",,"5,126","888,080"
Montserrat,20,,1 ,,19,,0,,"4,005",200,"1,313","262,915"
Solomon Islands,19,, ,,18,,1,,27,,"4,500","6,430"
Western Sahara,10,,1 ,,8,,1,,16,2,,
Marshall Islands,4,, ,,4,,0,,67,,,
Samoa,3,, ,,2,,1,,15,,,
Vanuatu,3,, ,,1,,2,,10,,470,"1,503"
Micronesia,1,, ,,1,,0,,9,,,
China,"90,410",+10,"4,636 ",,"85,488",+7,286,4,63,3,"160,000,000","111,163"
