CountryName,Total Case,New Case,Total Deaths,new Deaths,Total Recovered,Active Cases,Critical Cases,Total Case / 1M Pop,Deaths / 1M Pop,Total Tests,Total Tests / 1M Pop,Population
USA,"31,872,934","+2,938","575,610 ",+15,"24,423,693",+104,"6,873,631","9,206","95,857","1,731","418,296,070","1,258,012"
Brazil,"13,445,006",,"351,469 ",,"11,838,564",,"1,254,973","8,318","62,907","1,644","28,600,000","133,814"
India,"13,444,844","+89,379","169,651 ",+346,"12,109,473","+31,140","1,165,720","8,944","9,669",122,"256,626,850","184,558"
France,"5,023,785",,"98,602 ",,"303,639",,"4,621,544","5,729","76,833","1,508","68,007,540","1,040,101"
Russia,"4,641,390","+8,702","102,986 ",+337,"4,265,509","+7,230","272,895","2,300","31,794",705,"123,700,000","847,359"
UK,"4,369,775","+1,730","127,087 ",+7,"3,972,029","+10,291","270,659",406,"64,108","1,864","134,289,127","1,970,141"
Turkey,"3,798,333",,"33,702 ",,"3,301,217",,"463,414","2,739","44,665",396,"41,297,580","485,623"
Italy,"3,769,814","+15,746","114,254 ",+331,"3,122,555","+15,486","533,005","3,585","62,422","1,892","53,054,866","878,496"
Spain,"3,347,512",,"76,328 ",,"3,095,922",,"175,262","2,050","71,576","1,632","43,458,915","929,228"
Germany,"3,001,844","+9,041","78,936 ",+78,"2,671,200","+9,700","251,708","4,515","35,740",940,"51,559,277","613,862"
Poland,"2,574,631","+21,703","58,421 ",+245,"2,171,301","+28,236","344,909","3,459","68,086","1,545","12,912,603","341,473"
Colombia,"2,518,715",,"65,608 ",,"2,375,176",,"77,931","2,603","49,096","1,279","13,246,202","258,200"
Argentina,"2,517,300",,"57,647 ",,"2,217,783",,"241,870","3,761","55,305","1,267","9,527,467","209,319"
Mexico,"2,278,420","+6,356","207,020 ",,"1,807,676","+2,763","263,724","4,798","17,529","1,593","6,265,261","48,202"
Iran,"2,070,141","+21,063","64,490 ",+258,"1,710,974","+8,912","294,677","4,392","24,405",760,"13,673,466","161,200"
Ukraine,"1,853,249","+12,112","37,014 ",+235,"1,410,860","+5,034","405,375",177,"42,575",850,"8,622,424","198,082"
Peru,"1,639,767",,"54,669 ",,"1,557,779",,"27,319","2,321","49,203","1,640","9,945,732","298,434"
Czechia,"1,580,189","+2,198","27,808 ",+37,"1,449,052",+129,"103,329","1,220","147,345","2,593","14,308,617","1,334,213"
Indonesia,"1,566,995","+4,127","42,530 ",+87,"1,414,507","+5,219","109,958",,"5,682",154,"13,386,975","48,546"
South Africa,"1,557,527",,"53,256 ",,"1,482,682",,"21,589",546,"26,008",889,"10,115,923","168,919"
Netherlands,"1,350,665","+8,218","16,771 ",+17,N/A,N/A,N/A,781,"78,691",977,"11,292,587","657,913"
Chile,"1,068,522",,"24,213 ",,"998,400",,"45,909","3,139","55,527","1,258","11,825,634","614,538"
Canada,"1,056,995","+4,456","23,308 ",+21,"961,250","+2,617","72,437",928,"27,817",613,"28,875,724","759,925"
Romania,"1,006,167","+3,302","25,135 ",+129,"906,659","+4,420","74,373","1,531","52,575","1,313","7,687,854","401,709"
Iraq,"924,946","+6,791","14,713 ",+35,"814,853","+5,190","95,380",436,"22,606",360,"8,508,732","207,953"
Belgium,"922,487","+4,570","23,428 ",+38,"59,432",+267,"839,627",925,"79,328","2,015","11,670,137","1,003,563"
Philippines,"864,868","+11,681","14,945 ",+201,"703,404","+55,204","146,519",751,"7,812",135,"10,764,163","97,231"
Sweden,"857,401",,"13,621 ",,N/A,N/A,N/A,376,"84,489","1,342","7,847,033","773,258"
Israel,"835,871",+60,"6,294 ",+2,"825,687",+172,"3,890",263,"90,879",684,"13,740,302","1,493,902"
Portugal,"826,928",,"16,910 ",,"784,208",,"25,810",119,"81,282","1,662","9,363,361","920,357"
Pakistan,"721,018","+5,050","15,443 ",+114,"631,700","+4,139","73,875","4,143","3,216",69,"10,734,960","47,882"
Hungary,"720,164","+6,296","23,417 ",+206,"426,394","+3,028","270,353","1,290","74,696","2,429","4,934,786","511,838"
Bangladesh,"684,756","+5,819","9,739 ",+78,"576,590","+4,212","98,427",,"4,126",59,"5,002,865","30,145"
Jordan,"662,395",,"7,708 ",,"588,353",,"66,334",729,"64,426",750,"6,294,123","612,183"
Serbia,"642,208","+2,732","5,735 ",+35,"555,672","+5,434","80,801",266,"73,732",658,"3,588,296","411,973"
Switzerland,"617,543",,"10,452 ",,"557,566",,"49,525",189,"70,953","1,201","6,339,396","728,365"
Austria,"577,007","+2,252","9,687 ",+25,"535,798","+3,259","31,522",602,"63,785","1,071","26,679,075","2,949,205"
Morocco,"501,688",,"8,891 ",,"488,015",,"4,782",242,"13,469",239,"6,091,867","163,547"
Japan,"499,793",,"9,353 ",,"460,993",,"29,447",511,"3,961",74,"10,387,132","82,323"
Lebanon,"494,633",,"6,630 ",,"402,172",,"85,831",864,"72,722",975,"3,694,320","543,147"
UAE,"483,747","+1,810","1,531 ",+2,"468,456","+1,652","13,760",,"48,459",153,"40,263,802","4,033,355"
Saudi Arabia,"398,435",+799,"6,754 ",+7,"383,321",+548,"8,360",915,"11,309",192,"15,797,442","448,383"
Bulgaria,"371,531",,"14,351 ",,"285,799",,"71,381",801,"53,785","2,078","2,266,672","328,134"
Slovakia,"371,062",+589,"10,565 ",+78,"255,300",,"105,197",510,"67,939","1,934","2,439,970","446,742"
Malaysia,"360,856","+1,739","1,329 ",+8,"343,953","+1,216","15,574",183,"11,040",41,"8,204,996","251,023"
Panama,"358,377",,"6,159 ",,"347,898",,"4,320",105,"82,062","1,410","2,234,081","511,565"
Ecuador,"344,877",,"17,275  ",,"290,314",,"37,288",593,"19,321",968,"1,190,939","66,720"
Belarus,"336,038","+1,175","2,354 ",+10,"326,487","+1,379","7,197",,"35,571",249,"5,553,937","587,910"
Greece,"293,763",,"8,833 ",,"246,997",,"37,933",781,"28,291",851,"7,033,594","677,383"
Croatia,"292,516","+1,617","6,308 ",+39,"272,967","+2,003","13,241",182,"71,597","1,544","1,639,110","401,194"
Georgia,"288,396",+707,"3,877 ",+8,"277,303",+592,"7,216",,"72,403",973,"3,671,403","921,717"
Azerbaijan,"283,579",,"3,879 ",,"249,013",,"30,687",,"27,775",380,"3,005,197","294,343"
Bolivia,"281,570",+921,"12,442 ",+14,"230,807",+786,"38,321",71,"23,870","1,055","982,858","83,322"
Nepal,"280,028",+303,"3,040 ",+1,"274,027",+141,"2,961",,"9,479",103,"2,312,901","78,296"
Tunisia,"270,297",,"9,235 ",,"224,397",,"36,665",407,"22,687",775,"1,174,701","98,597"
Kazakhstan,"269,519","+2,842","3,221 ",+19,"234,057","+1,222","32,241",221,"14,222",170,"9,159,265","483,333"
Palestine,"268,132","+2,235","2,860 ",+22,"232,960","+1,672","32,312",185,"51,638",551,"1,636,553","315,171"
Dominican Republic,"257,186",,"3,385 ",,"216,020",,"37,781",154,"23,526",310,"1,343,391","122,886"
