CountryName,Total Case,New Case,Total Deaths,new Deaths,Total Recovered,Active Cases,Critical Cases,Total Case / 1M Pop,Deaths / 1M Pop,Total Tests,Total Tests / 1M Pop,Population
Cabo Verde,"19,110",,184 ,,"17,399","1,527",23,"34,083",328,"136,977","244,302","560,687"
French Polynesia,"18,666",,141 ,,"4,842","13,683",2,"66,151",500,"26,355","93,400","282,174"
Eswatini,"18,393",,669 ,,"17,682",42,3,"15,727",572,"173,720","148,540","1,169,515"
Mauritania,"18,035",,450 ,,"17,373",212,14,"3,802",95,"215,922","45,513","4,744,159"
French Guiana,"17,706",,94 ,,"9,995","7,617",9,"58,116",309,"171,169","561,820","304,669"
Réunion,"17,508",,123 ,,"16,011","1,374",54,"19,447",137,"100,098","111,184","900,292"
Mongolia,"16,603",+885,27 ,+2,"9,887","6,689",88,"5,002",8,"2,492,932","751,044","3,319,290"
Tajikistan,"13,308",,90 ,,"13,218",0,,"1,371",9,,,"9,703,563"
Burkina Faso,"12,989",,153 ,,"12,627",209,,608,7,"175,352","8,215","21,346,254"
Haiti,"12,855",,251 ,,"11,513","1,091",,"1,117",22,"60,085","5,220","11,510,653"
Andorra,"12,581",,121 ,,"11,890",570,12,"162,625","1,564","193,595","2,502,456","77,362"
Somalia,"12,566",,618 ,,"5,270","6,678",,774,38,"100,631","6,198","16,235,833"
Belize,"12,503",,318 ,,"12,134",51,1,"31,007",789,"106,371","263,798","403,229"
Guadeloupe,"12,140",,174 ,,"2,242","9,724",13,"30,337",435,"159,029","397,397","400,177"
Togo,"12,034",,116 ,,"9,303","2,615",,"1,428",14,"292,368","34,686","8,428,939"
Mali,"12,002",,414  ,,"7,166","4,422",,580,20,"243,860","11,780","20,701,344"
Hong Kong,"11,608",+13,207 ,,"11,227",174,7,"1,539",27,"11,193,673","1,483,712","7,544,369"
Curaçao,"11,385",,68 ,,"6,845","4,472",22,"69,161",413,"85,247","517,851","164,617"
Guyana,"11,189",,257 ,,"9,751","1,181",17,"14,172",326,"99,746","126,339","789,513"
Lesotho,"10,709",,315 ,,"5,028","5,366",,"4,968",146,"71,629","33,231","2,155,481"
South Sudan,"10,381",,114 ,,"10,148",119,,919,10,"139,846","12,380","11,295,828"
Congo,"10,084",,137 ,,"8,208","1,739",,"1,793",24,"92,500","16,450","5,623,185"
Aruba,"10,076",,92 ,,"9,468",516,14,"94,063",859,"136,656","1,275,728","107,120"
Djibouti,"9,975",,100 ,,"8,184","1,691",,"9,983",100,"140,642","140,760","999,165"
Bahamas,"9,460",,190 ,,"8,865",405,4,"23,879",480,"80,573","203,380","396,170"
Suriname,"9,316",,182 ,,"8,700",434,10,"15,770",308,"46,195","78,200","590,726"
Martinique,"9,028",,57 ,,98,"8,873",5,"24,072",152,"133,358","355,585","375,038"
Papua New Guinea,"8,821",+219,69 ,,846,"7,906",,972,8,"70,260","7,739","9,078,488"
Trinidad and Tobago,"8,441",,146 ,,"7,775",520,14,"6,016",104,"117,847","83,995","1,403,025"
Benin,"7,515",,93 ,,"6,452",970,35,608,8,"548,484","44,344","12,368,739"
Equatorial Guinea,"7,219",,106 ,,"6,799",314,11,"5,018",74,"115,364","80,196","1,438,522"
Nicaragua,"6,727",,179 ,,"4,225","2,323",,"1,006",27,,,"6,685,869"
Iceland,"6,267",,29 ,,"6,140",98,,"18,273",85,"562,645","1,640,513","342,969"
Gambia,"5,602",,168 ,,"5,145",289,3,"2,269",68,"59,297","24,015","2,469,123"
CAR,"5,491",,74 ,,"5,056",361,2,"1,122",15,"40,907","8,357","4,894,947"
Yemen,"5,446",,"1,068 ",,"2,059","2,319",23,180,35,"22,934",756,"30,334,834"
Niger,"5,081",,189 ,,"4,760",132,1,204,8,"93,751","3,768","24,881,206"
San Marino,"4,962",,86 ,,"4,510",366,8,"145,997","2,530","56,114","1,651,043","33,987"
Cambodia,"4,696",+181,33 ,+3,"2,252","2,411",,278,2,"782,811","46,323","16,898,828"
Chad,"4,641",,167 ,,"4,298",176,,276,10,"110,863","6,603","16,789,929"
Seychelles,"4,444",,25 ,,"4,161",258,,"44,970",253,"21,504","217,603","98,822"
Saint Lucia,"4,355",,64 ,,"4,179",112,1,"23,632",347,"37,758","204,893","184,282"
Gibraltar,"4,277",,94 ,,"4,181",2,,"126,978","2,791","219,808","6,525,785","33,683"
Channel Islands,"4,051",,86 ,,"3,956",9,1,"23,134",491,"399,901","2,283,700","175,111"
Sierra Leone,"4,008",,79 ,,"2,831","1,098",,495,10,"118,332","14,604","8,102,739"
Comoros,"3,789",,146 ,,"3,577",66,,"4,286",165,,,"883,955"
Barbados,"3,734",,44 ,,"3,613",77,,"12,981",153,"146,355","508,795","287,650"
Guinea-Bissau,"3,680",,66 ,,"3,069",545,9,"1,836",33,"60,281","30,080","2,004,008"
Eritrea,"3,466",,10 ,,"3,196",260,,967,3,"23,693","6,610","3,584,575"
Burundi,"3,154",,6 ,,773,"2,375",,259,0.5,"90,019","7,400","12,164,194"
Liechtenstein,"2,754",,56 ,,"2,625",73,5,"72,070","1,465","32,252","844,006","38,213"
Vietnam,"2,707",+2,35 ,,"2,445",227,,28,0.4,"2,598,753","26,512","98,020,700"
New Zealand,"2,587",+4,26 ,,"2,459",102,,517,5,"1,948,223","389,481","5,002,100 "
Monaco,"2,377",,31 ,,"2,247",99,6,"60,240",786,"51,953","1,316,632","39,459"
Turks and Caicos,"2,357",,17 ,,"2,283",57,2,"60,244",435,"41,059","1,049,458","39,124"
Sao Tome and Principe,"2,267",,35 ,,"2,188",44,,"10,197",157,"12,597","56,663","222,316"
Sint Maarten,"2,185",,27 ,,"2,118",40,1,"50,514",624,"25,304","584,996","43,255"
Liberia,"2,042",,85 ,,"1,899",58,2,397,17,"79,684","15,473","5,149,709"
Bermuda,"1,891",,16 ,,998,877,36,"30,452",258,"217,688","3,505,556","62,098"
St. Vincent Grenadines,"1,806",,10 ,,"1,665",131,2,"16,239",90,"43,985","395,495","111,215"
Saint Martin,"1,693",,12 ,,"1,399",282,7,"43,213",306,"26,385","673,465","39,178"
