,COUNTRY,long,lat
191,Romania,46.0,25.0
192,Russia,60.0,100.0
193,Rwanda,-2.0,30.0
194,Saint Barthelemy,17.9,-62.85
195,Saint Helena,-15.57,-5.42
196,Saint Kitts and Nevis,17.2,-62.45
197,Saint Lucia,13.53,-60.58
198,Saint Martin,18.05,-63.57
199,Saint Pierre and Miquelon,46.5,-56.2
200,St. Vincent Grenadines,13.15,-61.12
201,Samoa,-13.35,-172.2
202,San Marino,43.46,12.25
203,Sao Tome and Principe,1.0,7.0
204,Saudi Arabia,25.0,45.0
205,Senegal,14.0,-14.0
206,Serbia,44.0,21.0
207,Seychelles,-4.35,55.4
208,Sierra Leone,8.3,-11.3
209,Singapore,1.22,103.48
210,Slovakia,48.4,19.3
211,Slovenia,46.07,14.49
212,Solomon Islands,-8.0,159.0
213,Somalia,10.0,49.0
214,South Africa,-29.0,24.0
215,South Korea,37.0,127.3
216,South Sudan,8.0,30.0
217,Spain,40.0,-4.0
218,Spratly Islands,8.38,111.55
219,Sri Lanka,7.0,81.0
220,Sudan,15.0,30.0
221,Suriname,4.0,-56.0
222,Svalbard,78.0,20.0
223,Swaziland,-26.3,31.3
224,Sweden,62.0,15.0
225,Switzerland,47.0,8.0
226,Syria,35.0,38.0
227,Taiwan,23.3,121.0
228,Tajikistan,39.0,71.0
229,Tanzania,-6.0,35.0
230,Thailand,15.0,100.0
231,The Bahamas,24.15,-76.0
232,The Gambia,13.28,-16.34
233,Togo,8.0,1.1
234,Tokelau,-9.0,-172.0
235,Tonga,-20.0,-175.0
236,Trinidad and Tobago,11.0,-61.0
237,Tunisia,34.0,9.0
238,Turkey,39.0,35.0
239,Turkmenistan,40.0,60.0
240,Turks and Caicos Islands,21.45,-71.35
241,Tuvalu,-8.0,178.0
242,Uganda,1.0,32.0
243,Ukraine,49.0,32.0
244,UAE,24.0,54.0
245,UK,54.0,-2.0
246,US,38.0,-97.0
247,Uruguay,-33.0,-56.0
248,Uzbekistan,41.0,64.0
249,Vanuatu,-16.0,167.0
250,Venezuela,8.0,-66.0
251,Vietnam,16.1,107.5
252,Virgin Islands,18.2,-64.5
253,Wake Island,19.17,166.39
254,Wallis and Futuna,-13.18,-176.12
255,West Bank,32.0,35.15
256,Western Sahara,24.3,-13.0
257,Yemen,15.0,48.0
258,Zambia,-15.0,30.0
259,Zimbabwe,-20.0,30.0
